# Opening lines from lichess-org/chess-openings, CC0 1.0 (public domain).
# https://github.com/lichess-org/chess-openings
#
# Generated by tools/scripts/make_book.py — do not edit by hand.
# One position per row: the path of UCI moves from the starting position, a tab,
# then the book moves with their weight (how many named variations use them).
e2e4 e7e5 g1f3 f7f5	f3e5:11
e2e4 e7e5 g1f3 g8f6	f3e5:36 d2d4:10
e2e4 e7e6 d2d4 d7d5	b1c3:117 b1d2:25 e4e5:22
e2e4 g7g6 d2d4 f8g7	b1c3:17
e2e4 g8f6 e4e5 f6d5	d2d4:29 c2c4:9
g1f3 g8f6 g2g3 d7d5	f1g2:9
c2c4 c7c5 b1c3 b8c6 g2g3	g7g6:9
c2c4 e7e5 b1c3 b8c6 g2g3	g7g6:8
c2c4 e7e5 b1c3 g8f6 g1f3	b8c6:18
c2c4 e7e6 g1f3 d7d5 g2g3	g8f6:12
c2c4 g8f6 g2g3 c7c6 g1f3	d7d5:10
d2d4 d7d5 c2c4 c7c6 b1c3	g8f6:31
d2d4 d7d5 c2c4 c7c6 g1f3	g8f6:66
d2d4 d7d5 c2c4 d5c4 g1f3	g8f6:28
d2d4 d7d5 c2c4 e7e5 d4e5	d5d4:12
d2d4 d7d5 c2c4 e7e6 b1c3	g8f6:48 c7c5:28 c7c6:18 f8e7:9
d2d4 d7d5 c2c4 e7e6 g1f3	g8f6:9
d2d4 d7d5 e2e4 d5e4 b1c3	g8f6:35
d2d4 d7d5 g1f3 g8f6 c1g5	e7e6:10
d2d4 d7d5 g1f3 g8f6 e2e3	e7e6:9
d2d4 f7f5 c2c4 g8f6 g2g3	e7e6:21
d2d4 g8f6 c2c4 c7c5 d4d5	b7b5:24 e7e6:18
d2d4 g8f6 c2c4 e7e6 b1c3	f8b4:98 d7d5:15
d2d4 g8f6 c2c4 e7e6 g1f3	d7d5:68 b7b6:54 c7c5:14 f8b4:13
d2d4 g8f6 c2c4 e7e6 g2g3	d7d5:19 f8b4:9
d2d4 g8f6 c2c4 g7g6 b1c3	f8g7:96 d7d5:53
d2d4 g8f6 c2c4 g7g6 g1f3	f8g7:22
e2e4 c7c5 b1c3 b8c6 g2g3	g7g6:9
e2e4 c7c5 d2d4 c5d4 c2c3	d4c3:21
e2e4 c7c5 g1f3 b8c6 d2d4	c5d4:51
e2e4 c7c5 g1f3 d7d6 d2d4	c5d4:106
e2e4 c7c5 g1f3 e7e6 d2d4	c5d4:51
e2e4 c7c5 g1f3 g7g6 d2d4	f8g7:9
e2e4 c7c6 d2d4 d7d5 b1c3	d5e4:10
e2e4 c7c6 d2d4 d7d5 b1d2	d5e4:18
